Method name: masterkurs2018_n2a_undifferentiated																																														
Application: SparkControl				1.1																																										
Device: SPARK 10M				Serial number: 1511007580																																										
Firmware: 				LUM:V4.0.22|ABS:V4.2.9|ABS_MEX:V4.1.7|MTP:V9.0.18|FLUOR:V4.2.12|GCM:V3.0.2																																										
 																																														
Date: 				2018-01-10																																										
Time: 				11:00																																										
System 				PC-2WPML82																																										
User 				NT-AUTORITÄT\NETZWERKDIENST																																										
Plate 				[GRE96fw_chimney] - Greiner 96 Flat White [GRE96fw_chimney]																																										
Lid lifter 				Removable lid 																																										
Humidity Cassette 				No humidity cassette 																																										
																																														
List of actions in this measurement script:																																														
Plate																																														
	Temperature																																													
	Gas 																																													
	User intervention																																													
	Kinetic																																													
		Luminescence				RTG																																								
		Condition																																												
			User intervention																																											
																																														
Plate layout																																														
Name				GRE96fw_chimney																																										
																																														
Temperature control				On																																										
Target temperature				37	°C																																									
Wait minimum				36,5	°C																																									
Wait maximum				37,5	°C																																									
																																														
Gas control				CO2																																										
CO2 target value				5	%																																									
CO2 wait minimum				4,5	%																																									
CO2 wait maximum				5,5	%																																									
																																														
User intervention text				Start assay																																										
																																														
Mode	Kinetic																																													
Kinetic cycles				49																																										
Interval time				00:30:00																																										
																																														
Mode	Luminescence																																													
Attenuation				None																																										
Settle time				0	ms																																									
Integration time				1000	ms																																									
Output				Counts / s																																										
Part of Plate				A1-D12;E1-H11																																										
																																														
Mode	Condition																																													
Type				Start at cycle																																										
Executed once																																														
Operation				at cycle 7																																										
																																														
User intervention text				Add glutamate																																										
																																														
Start Time				2018-01-09 12:06:24																																										
																																														
RTG																																														
Cycle Nr.	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46
Time [s]	0	1799,19	3599,113	5399,02	7198,93	8998,857	10798,762	12599,109	14398,615	16198,522	17998,449	19798,343	21598,262	23398,189	25198,092	26998,006	28797,913	30597,838	32397,734	34197,652	35997,578	37797,477	39597,394	41397,319	43197,228	44997,134	46797,051	48596,985	50396,893	52196,803	53996,71	55796,636	57596,545	59396,452	61196,376	62996,289	64796,194	66596,119	68396,024	70195,936	71995,844	73795,766	75595,695	77395,602	79195,51	80995,418
CO2 %	4,6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
O2 %	19,7	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6
Temp. [°C]	37,14	37,22	36,94	36,98	37,13	37,04	36,95	37,04	37,06	37,09	37,04	37,09	37,1	36,89	37,11	37,11	37,18	36,93	37,11	36,9	36,97	37,07	37,02	36,96	36,97	37,18	37,05	37,05	36,92	37	36,91	37,02	37,07	37,09	37,05	37,14	37,02	37,15	36,96	37,08	37,11	36,89	36,94	36,95	36,97	36,94
A1	10034	97368	126066	141892	155011	163510	170826	161774	168257	173611	176724	180054	181566	183237	186245	187365	188649	189592	190150	192339	193273	194040	196191	196382	197827	199204	201605	204027	205849	209747	211561	213064	213334	217905	219198	223368	225682	228153	231551	234240	238158	240544	241493	245690	250813	252811
