	larva(0)	larva(1)	larva(2)	larva(4)
mom_x(0)	1224	1377	1463	1177
mom_x(1)	1224	1377	1463	1176
mom_x(2)	1224	1379	1464	1175
mom_x(3)	1224	1380	1466	1178
mom_x(4)	1224	1381	1466	1181
mom_x(5)	1224	1382	1466	1182
mom_x(6)	1225	1382	1466	1182
mom_x(7)	1225	1384	1467	1182
mom_x(8)	1225	1385	1467	1181
mom_x(9)	1225	1387	1468	1181
mom_x(10)	1224	1387	1469	1181
mom_x(11)	1220	1387	1472	1181
mom_x(12)	1221	1388	1473	1186
mom_x(13)	1223	1389	1474	1186
mom_x(14)	1227	1389	1474	1184
mom_x(15)	1228	1391	1475	1182
mom_x(16)	1228	1393	1476	1182
mom_x(17)	1228	1393	1477	1183
mom_x(18)	1227	1394	1476	1183
mom_x(19)	1228	1396	1477	1183
mom_x(20)	1227	1397	1477	1184
mom_x(21)	1227	1397	1477	1186
mom_x(22)	1228	1398	1477	1187
mom_x(23)	1234	1400	1477	1188
mom_x(24)	1233	1404	1478	1189
mom_x(25)	1230	1409	1477	1187
mom_x(26)	1230	1409	1479	1185
mom_x(27)	1229	1408	1480	1186
mom_x(28)	1230	1408	1481	1186
mom_x(29)	1230	1408	1482	1187
mom_x(30)	1231	1410	1485	1187
mom_x(31)	1231	1411	1485	1188
mom_x(32)	1231	1411	1485	1191
mom_x(33)	1232	1412	1486	1191
mom_x(34)	1238	1412	1488	1191
mom_x(35)	1239	1412	1491	1192
mom_x(36)	1238	1414	1493	1190
mom_x(37)	1237	1414	1493	1189
mom_x(38)	1237	1414	1492	1189
mom_x(39)	1237	1414	1493	1189
mom_x(40)	1237	1413	1494	1190
mom_x(41)	1240	1413	1495	1190
mom_x(42)	1244	1414	1495	1190
mom_x(43)	1244	1415	1496	1189
mom_x(44)	1244	1415	1497	1189
mom_x(45)	1243	1416	1499	1190
mom_x(46)	1244	1416	1500	1191
mom_x(47)	1245	1417	1501	1193
