	larva(0)
mom_x(0)	1029
mom_x(1)	1026
mom_x(2)	1025
mom_x(3)	1025
mom_x(4)	1025
mom_x(5)	1026
mom_x(6)	1027
mom_x(7)	1027
mom_x(8)	1028
mom_x(9)	1027
mom_x(10)	1021
mom_x(11)	1019
mom_x(12)	1018
mom_x(13)	1018
mom_x(14)	1017
mom_x(15)	1014
mom_x(16)	1012
mom_x(17)	1010
mom_x(18)	1010
mom_x(19)	1011
mom_x(20)	1009
mom_x(21)	1008
mom_x(22)	1006
mom_x(23)	1004
mom_x(24)	1002
mom_x(25)	1007
mom_x(26)	1007
mom_x(27)	1006
mom_x(28)	1003
mom_x(29)	1002
mom_x(30)	999
mom_x(31)	996
mom_x(32)	994
mom_x(33)	993
mom_x(34)	994
mom_x(35)	999
mom_x(36)	1001
mom_x(37)	1000
mom_x(38)	997
mom_x(39)	992
mom_x(40)	986
mom_x(41)	979
mom_x(42)	980
mom_x(43)	979
mom_x(44)	978
mom_x(45)	979
mom_x(46)	981
mom_x(47)	982
mom_x(48)	978
mom_x(49)	978
mom_x(50)	976
mom_x(51)	976
mom_x(52)	975
mom_x(53)	974
mom_x(54)	976
mom_x(55)	977
mom_x(56)	974
mom_x(57)	972
mom_x(58)	971
mom_x(59)	969
mom_x(60)	968
mom_x(61)	967
mom_x(62)	965
mom_x(63)	965
mom_x(64)	963
mom_x(65)	961
mom_x(66)	958
mom_x(67)	956
mom_x(68)	955
mom_x(69)	952
mom_x(70)	950
mom_x(71)	948
mom_x(72)	947
mom_x(73)	947
mom_x(74)	946
mom_x(75)	944
mom_x(76)	943
mom_x(77)	941
mom_x(78)	939
mom_x(79)	937
mom_x(80)	933
mom_x(81)	931
mom_x(82)	929
mom_x(83)	926
mom_x(84)	924
mom_x(85)	921
mom_x(86)	920
mom_x(87)	919
mom_x(88)	918
mom_x(89)	917
mom_x(90)	917
mom_x(91)	921
mom_x(92)	922
mom_x(93)	921
mom_x(94)	921
mom_x(95)	920
mom_x(96)	919
mom_x(97)	918
mom_x(98)	916
mom_x(99)	914
mom_x(100)	912
mom_x(101)	912
mom_x(102)	911
mom_x(103)	910
mom_x(104)	909
mom_x(105)	908
mom_x(106)	906
mom_x(107)	904
mom_x(108)	902
mom_x(109)	900
mom_x(110)	898
mom_x(111)	895
mom_x(112)	895
mom_x(113)	894
mom_x(114)	893
mom_x(115)	894
mom_x(116)	893
mom_x(117)	891
mom_x(118)	890
mom_x(119)	890
mom_x(120)	890
mom_x(121)	890
mom_x(122)	890
mom_x(123)	889
mom_x(124)	889
mom_x(125)	889
mom_x(126)	888
mom_x(127)	889
mom_x(128)	889
mom_x(129)	889
mom_x(130)	888
mom_x(131)	888
mom_x(132)	887
mom_x(133)	887
mom_x(134)	886
mom_x(135)	887
mom_x(136)	887
mom_x(137)	887
mom_x(138)	887
mom_x(139)	885
mom_x(140)	884
mom_x(141)	884
mom_x(142)	883
mom_x(143)	882
mom_x(144)	882
mom_x(145)	882
mom_x(146)	881
mom_x(147)	881
mom_x(148)	881
mom_x(149)	881
mom_x(150)	881
mom_x(151)	882
mom_x(152)	882
mom_x(153)	883
mom_x(154)	881
mom_x(155)	881
mom_x(156)	878
mom_x(157)	877
mom_x(158)	876
mom_x(159)	872
mom_x(160)	872
mom_x(161)	871
mom_x(162)	870
mom_x(163)	870
mom_x(164)	869
mom_x(165)	868
mom_x(166)	867
mom_x(167)	865
mom_x(168)	864
mom_x(169)	864
mom_x(170)	863
mom_x(171)	863
mom_x(172)	863
mom_x(173)	862
mom_x(174)	862
mom_x(175)	861
mom_x(176)	861
mom_x(177)	861
mom_x(178)	860
mom_x(179)	860
mom_x(180)	859
mom_x(181)	857
mom_x(182)	857
mom_x(183)	856
mom_x(184)	855
mom_x(185)	854
mom_x(186)	853
mom_x(187)	853
mom_x(188)	851
mom_x(189)	850
mom_x(190)	849
mom_x(191)	849
mom_x(192)	847
mom_x(193)	847
mom_x(194)	846
mom_x(195)	845
mom_x(196)	845
mom_x(197)	845
mom_x(198)	845
mom_x(199)	844
mom_x(200)	844
mom_x(201)	845
mom_x(202)	843
mom_x(203)	843
mom_x(204)	842
mom_x(205)	842
mom_x(206)	842
mom_x(207)	842
mom_x(208)	842
mom_x(209)	842
mom_x(210)	842
mom_x(211)	843
mom_x(212)	842
mom_x(213)	843
mom_x(214)	843
mom_x(215)	843
mom_x(216)	844
mom_x(217)	844
mom_x(218)	844
mom_x(219)	845
mom_x(220)	845
mom_x(221)	845
mom_x(222)	846
mom_x(223)	846
mom_x(224)	846
mom_x(225)	846
mom_x(226)	846
mom_x(227)	846
mom_x(228)	846
mom_x(229)	846
mom_x(230)	846
mom_x(231)	846
mom_x(232)	846
