Method name: INIMS_ExiCyToxAssay_RTG_Lars_Binkle_790_464_																																																	
Application: SparkControl				1.1																																													
Device: SPARK 10M				Serial number: 1511007580																																													
Firmware: 				LUM:V4.0.22|ABS:V4.2.9|ABS_MEX:V4.1.7|MTP:V9.0.18|FLUOR:V4.2.12|GCM:V3.0.2																																													
 																																																	
Date: 				2017-06-22																																													
Time: 				10:32																																													
System 				PC-2WPML82																																													
User 				NT-AUTORITÄT\NETZWERKDIENST																																													
Plate 				[GRE96fw_chimney] - Greiner 96 Flat White [GRE96fw_chimney]																																													
Lid lifter 				Removable lid 																																													
Humidity Cassette 				No humidity cassette 																																													
																																																	
List of actions in this measurement script:																																																	
Plate																																																	
	Temperature																																																
	Gas 																																																
	User intervention																																																
	Kinetic																																																
		Luminescence				RTG																																											
		Condition																																															
			User intervention																																														
																																																	
Plate layout																																																	
Name				GRE96fw_chimney																																													
																																																	
Temperature control				On																																													
Target temperature				37	°C																																												
Wait minimum				36,5	°C																																												
Wait maximum				37,5	°C																																												
																																																	
Gas control				CO2																																													
CO2 target value				5	%																																												
CO2 wait minimum				4,5	%																																												
CO2 wait maximum				5,5	%																																												
																																																	
User intervention text				Start assay																																													
																																																	
Mode	Kinetic																																																
Kinetic cycles				49																																													
Interval time				00:30:00																																													
																																																	
Mode	Luminescence																																																
Attenuation				None																																													
Settle time				0	ms																																												
Integration time				1000	ms																																												
Output				Counts / s																																													
Part of Plate				A2-A5;B2-G11																																													
																																																	
Mode	Condition																																																
Type				Start at cycle																																													
Executed once																																																	
Operation				at cycle 11																																													
																																																	
User intervention text				Add glutamate																																													
																																																	
Start Time				2017-06-21 10:30:36																																													
																																																	
RTG																																																	
Cycle Nr.	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
Time [s]	0	1799,215	3599,106	5399,026	7198,935	8998,858	10798,762	12598,676	14398,583	16198,507	17998,416	19798,74	21598,25	23398,165	25198,073	26997,984	28797,899	30597,813	32397,733	34197,64	35997,557	37797,476	39597,372	41397,291	43197,203	44997,113	46797,044	48596,946	50396,857	52196,764	53996,692	55796,611	57596,519	59396,426	61196,357	62996,256	64796,172	66596,09	68395,997	70195,918	71995,831	73795,755	75595,659	77395,555	79195,49	80995,382	82795,295	84595,199	86395,126
CO2 %	4,8	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
O2 %	19,7	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6
Temp. [°C]	37,02	36,98	37,11	37,05	37,15	36,99	36,98	37	37,09	37,02	37,04	37,15	37,09	37,14	37,03	36,92	37,04	36,99	37,02	37,08	37,03	37	37,04	37,07	37,09	37,07	36,95	37,04	37,02	37,02	36,9	37,06	36,95	37,13	37,17	36,99	37,05	37,02	37,03	37,01	36,93	36,92	37	37,12	37,14	37,03	37,02	36,97	37,08
A1																																																	
A2	262	445	586	660	624	632	748	663	700	761	806	746	739	781	748	803	825	828	779	761	854	843	879	853	833	855	905	912	931	923	961	891	929	972	928	917	941	950	1000	951	944	985	945	1076	950	992	990	997	1050
A3	251	456	710	724	652	705	738	756	762	734	788	847	859	863	843	873	853	872	904	877	944	956	940	992	889	962	1037	992	1005	982	1030	1069	1035	1080	1021	1076	1093	1062	1085	1121	1106	1109	1107	1095	1173	1124	1167	1095	1139
A4	256	566	699	697	749	811	725	761	693	723	759	863	765	811	825	873	874	837	844	873	877	916	970	980	1029	1029	935	985	1028	971	1015	1171	1063	1024	1032	1079	1103	1070	1041	1117	1139	1091	1062	1110	1094	1066	1220	1048	1191
